,iupac,smiles,expt,calc
149,isoprene,CC(=C)C=C,0.68,1.824
44,"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,-18.162
185,"1,1,2-trichloroethane",C(C(Cl)Cl)Cl,-1.99,-0.384
227,acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O,-9.94,-9.399
288,methylcyclohexane,CC1CCCCC1,1.7,1.679
321,2-bromopropane,CC(C)Br,-0.48,0.448
145,hexachloroethane,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,0.885
501,"2-bromo-2-chloro-1,1,1-trifluoro-ethane",[C@@H](C(F)(F)F)(Cl)Br,-0.11,0.206
523,morpholine,C1COCCN1,-7.17,-6.116
253,"1,1,2-trichloro-1,2,2-trifluoro-ethane",C(C(F)(Cl)Cl)(F)(F)Cl,1.77,1.691
267,"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74,-13.424
583,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,2.89,2.542
430,"1,4-dimethylnaphthalene",Cc1ccc(c2c1cccc2)C,-2.82,-3.081
156,2-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1,-4.054
636,diazinon,CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48,-10.753
173,2-chloropyridine,c1ccnc(c1)Cl,-4.39,-3.873
135,"1,4-dichloro-2-phenyl-benzene",c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,-1.903
619,propan-1-ol,CCCO,-4.85,-3.33
363,fluoromethane,CF,-0.22,0.881
273,N-butylbutan-1-amine,CCCCNCCCC,-3.24,-2.076
418,methyl benzoate,COC(=O)c1ccccc1,-3.92,-4.921
151,1-methylimidazole,Cn1ccnc1,-8.41,-6.282
343,chlorobenzene,c1ccc(cc1)Cl,-1.12,-0.475
621,neopentane,CC(C)(C)C,2.51,2.506
71,"1-(2-hydroxyethylamino)-9,10-anthraquinone",c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21,-13.599
504,"2,4-dimethylpentane",CC(C)CC(C)C,2.83,2.756
262,trimethoxymethane,COC(OC)OC,-4.42,-4.625
10,dibromomethane,C(Br)Br,-1.96,-0.405
213,butyric acid,CCCC(=O)O,-6.35,-9.434
528,1-(4-methoxyphenyl)ethanone,CC(=O)c1ccc(cc1)OC,-4.4,-6.575
561,nitroxyacetone,CC(=O)CO[N+](=O)[O-],-5.99,-5.362
500,pentachloronitrobenzene,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22,-1.284
366,2-methylaniline,Cc1ccccc1N,-5.53,-5.325
256,"1,3-dimethylnaphthalene",Cc1cc(c2ccccc2c1)C,-2.47,-2.995
292,"2,5-dimethyltetrahydrofuran",C[C@H]1CC[C@@H](O1)C,-2.92,-1.787
578,4-chloro-3-methyl-phenol,Cc1cc(ccc1Cl)O,-6.79,-5.14
440,2-phenylethanol,c1ccc(cc1)CCO,-6.79,-5.28
406,diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74,-9.211
126,phenanthrene,c1ccc2c(c1)ccc3c2cccc3,-3.88,-5.264
311,alachlor,CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21,-6.851
461,acetaldehyde,CC=O,-3.5,-3.372
168,"N,N-diethylethanamine",CCN(CC)CC,-3.22,-1.955
15,"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C\CO)/C)C,-4.78,-2.597
293,4-methyl-2-methoxyphenol,Cc1ccc(c(c1)OC)O,-5.8,-4.547
290,pyridine,c1ccncc1,-4.69,-3.508
520,4-methylpentan-2-one,CC(C)CC(=O)C,-3.05,-3.116
522,3-chloroaniline,c1cc(cc(c1)Cl)N,-5.82,-5.138
381,1-bromohexane,CCCCCCBr,0.18,1.076
408,methylsulfanylmethane,CSC,-1.61,0.44
178,1-pyrrolidin-1-ylethanone,CC(=O)N1CCCC1,-9.8,-7.831
577,"3,4-dimethylphenol",Cc1ccc(cc1C)O,-6.5,-5.471
591,isopentane,CCC(C)C,2.38,2.59
370,"1,1,2,2-tetrachloroethylene",C(=C(Cl)Cl)(Cl)Cl,0.1,1.328
546,2-nitropropane,CC(C)[N+](=O)[O-],-3.13,-1.741
58,simazine,CCNc1nc(nc(n1)Cl)NCC,-10.22,-10.914
4,heptan-1-ol,CCCCCCCO,-4.21,-2.917
521,hexanal,CCCCCC=O,-2.81,-2.86
25,pentanenitrile,CCCCC#N,-3.52,-2.147
385,2-chlorobutane,CC[C@H](C)Cl,0.0,0.927
297,ethyl paraben,CCOC(=O)c1ccc(cc1)O,-9.2,-9.535
17,ethoxybenzene,CCOc1ccccc1,-2.22,-2.254
596,1-methyl-2-nitro-benzene,Cc1ccccc1[N+](=O)[O-],-3.58,-3.133
258,chlorpyrifos,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04,-9.625
63,methyl paraben,COC(=O)c1ccc(cc1)O,-9.51,-9.785
282,nonanal,CCCCCCCCC=O,-2.07,-2.336
186,N-methylaniline,CNc1ccccc1,-4.69,-5.719
122,N-methylmethanamine,CNC,-4.29,-2.991
108,methyl acetate,CC(=O)OC,-3.13,-3.83
289,2-methylthiophene,Cc1cccs1,-1.38,-0.3
350,1-chloro-2-(2-chloroethoxy)ethane,C(CCl)OCCCl,-4.23,-2.248
235,propane,CCC,2.0,2.495
426,1-nitropropane,CCC[N+](=O)[O-],-3.34,-1.632
