,0,1,2,3
0,gdb9_21251,-59.64433670043945 kJ/mol,"[Vec3(x=9.872213363647461, y=78.25357055664062, z=-13.128545761108398), Vec3(x=-50.033329010009766, y=130.79736328125, z=85.19879913330078), Vec3(x=13.087746620178223, y=-48.7770881652832, z=-23.00876235961914), Vec3(x=-27.896156311035156, y=125.11154174804688, z=49.66487121582031), Vec3(x=58.05289077758789, y=41.371524810791016, z=-91.54812622070312), Vec3(x=22.00638198852539, y=-54.80068588256836, z=-37.55439758300781), Vec3(x=5.439265727996826, y=-132.11366271972656, z=-13.67905044555664), Vec3(x=10.024395942687988, y=-56.912010192871094, z=-18.006256103515625), Vec3(x=-42.65700149536133, y=108.4110107421875, z=47.281558990478516), Vec3(x=-20.05093765258789, y=108.18817138671875, z=61.5545654296875), Vec3(x=13.787652969360352, y=2.975371837615967, z=-21.822065353393555), Vec3(x=-28.355031967163086, y=-250.36973571777344, z=36.12646484375), Vec3(x=36.721954345703125, y=-52.135276794433594, z=-61.07907485961914)] kJ/(nm mol)","[Vec3(x=37.21685028076172, y=79.76580047607422, z=-57.24010467529297), Vec3(x=-50.911102294921875, y=87.89828491210938, z=85.04789733886719), Vec3(x=55.27838134765625, y=-10.90304946899414, z=-89.37060546875), Vec3(x=-1.7694886922836304, y=49.52016067504883, z=4.68076753616333), Vec3(x=38.89764404296875, y=20.03999900817871, z=-61.364013671875), Vec3(x=-41.78232192993164, y=67.43292999267578, z=69.61780548095703), Vec3(x=36.05034637451172, y=-99.12288665771484, z=-61.72114181518555), Vec3(x=-8.348505020141602, y=-49.982025146484375, z=11.833845138549805), Vec3(x=-59.97994613647461, y=83.20610809326172, z=53.02539825439453), Vec3(x=-18.361051559448242, y=82.48834991455078, z=79.19287872314453), Vec3(x=3.25504469871521, y=35.948482513427734, z=-3.6586761474609375), Vec3(x=-39.41862106323242, y=-234.96170043945312, z=54.40289306640625), Vec3(x=49.87284469604492, y=-111.3304443359375, z=-84.44699096679688)] kJ/(nm mol)"
1,gdb9_21252,-39.041869819326706 kJ/mol,"[Vec3(x=-0.48602441164485377, y=0.7369825047024676, z=0.9064350168563493), Vec3(x=-0.03823390466789078, y=1.6993582671833565, z=0.11919846654092225), Vec3(x=-0.33306903769005203, y=-0.609460133679022, z=0.41363184967894995), Vec3(x=-0.7247757494540075, y=-0.2897597450406124, z=1.0191809026560321), Vec3(x=0.48338660988167703, y=-0.3241250034525933, z=-0.955075560737157), Vec3(x=0.5976452959067444, y=-3.649011388898643, z=-1.0745480198721395), Vec3(x=-1.136856661566128, y=-2.24665774645203, z=1.6312015115715894), Vec3(x=-0.3290942278279658, y=5.494122125526289, z=0.7042629239094254), Vec3(x=0.5730040084102974, y=0.47556001612861465, z=2.9147490281837136), Vec3(x=-2.734099598330806, y=0.6505252718700874, z=0.8078159614652769), Vec3(x=1.7012171739143742, y=4.030677371217653, z=-2.5233035345766375), Vec3(x=0.5191000609601986, y=-1.6711019442473685, z=-0.9296184710093485), Vec3(x=-1.018869739776985, y=-1.5792951693850057, z=-0.9450478475253306), Vec3(x=2.8353205657847464, y=-1.6299669214032875, z=-4.52968498158516), Vec3(x=1.2942197344007855, y=-1.5742675171130074, z=0.5554506876698238), Vec3(x=-1.2029258486431829, y=0.4865745082825583, z=1.8853501594249167)] kJ/(nm mol)","[Vec3(x=1.3311284236886678, y=1.6129592823200678, z=-2.0266786792732674), Vec3(x=-0.8446952274276214, y=-0.20324410092314338, z=1.3225788225469728), Vec3(x=1.0555156253124096, y=2.1392958524126016, z=-1.6828653754157585), Vec3(x=-0.7505419348397133, y=0.07328718343995888, z=1.0816062616035467), Vec3(x=-0.8539541433894442, y=-4.967745409226993, z=0.9863885111985269), Vec3(x=2.274368255042077, y=-0.22520351032909502, z=-3.5923079488160283), Vec3(x=0.27423650307275693, y=1.6837932067309538, z=-0.4333417791424665), Vec3(x=-1.5084178934192067, y=-0.34535237438254285, z=2.317970077278133), Vec3(x=-0.5541601454619638, y=-0.404210920475224, z=3.263062314524767), Vec3(x=-2.5818507928885452, y=-0.28039319724382494, z=1.9736262545499343), Vec3(x=0.5613448021114289, y=4.750256729931861, z=-0.6601086883629526), Vec3(x=0.6284570929718996, y=0.10108535544191, z=-1.0150022560111438), Vec3(x=-2.0465306979777775, y=-1.8399295194014762, z=-1.1031787435519824), Vec3(x=1.5884400837699708, y=-2.406171620538805, z=-2.5860128596925076), Vec3(x=1.870184303250376, y=-1.8890359753384818, z=1.395675878701077), Vec3(x=-0.44352359816406306, y=2.2006073486520448, z=0.758588448282012)] kJ/(nm mol)"
2,gdb9_21253,-16.645790099214544 kJ/mol,"[Vec3(x=0.6999801614190302, y=-0.3045088516761325, z=1.2920851818464678), Vec3(x=0.6353841996997858, y=-1.558161734453165, z=1.0121097194108586), Vec3(x=0.7619728237390291, y=1.0795596174595516, z=1.5573185033978234), Vec3(x=0.03898019490961602, y=-4.59714031440015, z=-0.4873951255842499), Vec3(x=0.669565798196345, y=-1.3363191335017461, z=1.0891922870757753), Vec3(x=-0.3139108178685319, y=2.5154891183278494, z=-0.29377742499366377), Vec3(x=-0.01667963159474084, y=-1.451293858195271, z=-0.20225376236874126), Vec3(x=-0.26948381605846095, y=-2.460668793901661, z=-0.8060287243891509), Vec3(x=-1.8849325641191346, y=1.7175932848824846, z=-1.5735449382161484), Vec3(x=0.5077545987786518, y=2.85371062338843, z=1.3185015979285488), Vec3(x=-0.404430211383886, y=1.7938228685907367, z=-2.3493124021925507), Vec3(x=-0.14089436242414877, y=-1.8651193578994878, z=-0.47876059364608636), Vec3(x=-1.0593522758058036, y=2.6323006398985456, z=1.6636466793919737), Vec3(x=-0.9169354678773107, y=-1.8305311923167125, z=-1.9593546986954706), Vec3(x=1.6929668864607788, y=2.811291640910124, z=0.2175769196852677)] kJ/(nm mol)","[Vec3(x=0.366942905586102, y=0.5782686186377646, z=0.7661286531531921), Vec3(x=0.13173082304227535, y=0.4856641583799046, z=0.29517944599916746), Vec3(x=-1.424819480494648, y=-5.471686233002174, z=-3.3779221572035567), Vec3(x=1.3971427782706627, y=2.52372878473917, z=2.9468941731418106), Vec3(x=0.22347317694726598, y=-1.8154757625548115, z=0.195367780419474), Vec3(x=0.6835233039759601, y=-0.5727246740013356, z=1.23526281434863), Vec3(x=-0.5989511289992322, y=-0.10823394951594878, z=-1.1556179226291476), Vec3(x=-0.038528879646435144, y=0.3555043643076914, z=-0.036397196081011884), Vec3(x=0.4196108423211422, y=0.5751011742225263, z=-0.6313124341076062), Vec3(x=0.0512137722585333, y=2.4539777965166163, z=0.3999298479322011), Vec3(x=-0.8156314954404618, y=0.4844306188554004, z=0.02248664880289475), Vec3(x=0.16015441148593368, y=-2.0130852689169387, z=0.06617454823663138), Vec3(x=0.5036302273627165, y=0.7162868891770273, z=-1.4658513426435213), Vec3(x=0.508170111199874, y=1.2129782908312414, z=1.1163158648344602), Vec3(x=-1.5676623215439456, y=0.5952642386495199, z=-0.37664086997086343)] kJ/(nm mol)"
3,gdb9_21254,-59.43027627577385 kJ/mol,"[Vec3(x=0.18210524678575268, y=0.004039782419006599, z=-0.7252275411688913), Vec3(x=-1.1589730834436125, y=2.720914435580255, z=-0.9280222154498006), Vec3(x=3.026109102143323, y=-0.8657834183774185, z=1.3811683573359232), Vec3(x=-2.952954324199524, y=1.007790724950496, z=-0.36315050868542187), Vec3(x=1.6360086972632217, y=-1.4581098788820555, z=-0.2119032650665531), Vec3(x=1.281678646441712, y=3.738906671458949, z=-1.3149801656125248), Vec3(x=-0.032101853700623906, y=0.4465528725885264, z=-2.1852563180285642), Vec3(x=-0.48154182768571374, y=-1.0764211328696973, z=-0.282586251826757), Vec3(x=1.2170574037889423, y=0.5279347133282428, z=1.0763368495149308), Vec3(x=-0.6000045676779209, y=-2.115712137790256, z=1.5538626436649832), Vec3(x=-0.948941818438481, y=1.322294122268783, z=-2.6566032653456055), Vec3(x=1.0906768241946168, y=-3.6429315699803055, z=1.8981304270966461), Vec3(x=-0.5998538449969857, y=2.4900900214651074, z=-0.4867873898521111), Vec3(x=-1.6850837539707868, y=-1.6328438777892416, z=0.6491916410724912), Vec3(x=0.025836856075784453, y=-1.466664107911697, z=2.595765013520804)] kJ/(nm mol)","[Vec3(x=0.8895367306151272, y=-0.8835051228187751, z=-0.4410127236695871), Vec3(x=-1.6434756653518434, y=4.718219186029103, z=0.8801593456439605), Vec3(x=-1.347351209243584, y=-0.12549052398287586, z=0.47412730406006176), Vec3(x=-1.4483003449929441, y=3.217924986431484, z=-1.859080132258967), Vec3(x=-0.6363357414866755, y=0.10932539685472165, z=0.5187268360890158), Vec3(x=-1.3965458981735424, y=-0.5945216673975295, z=-0.4300256407985614), Vec3(x=1.0166918571340062, y=0.6082822730769237, z=-3.8811821141882064), Vec3(x=-0.9906668246503614, y=0.40789951590315354, z=-0.35722206151950786), Vec3(x=-0.48915455462502244, y=0.7992795611711063, z=-1.265951162509194), Vec3(x=-0.6132661308804535, y=-3.3473298308942905, z=2.220038980742329), Vec3(x=1.9251673858867253, y=-2.18592693672796, z=0.4825524646492365), Vec3(x=1.3060947154512519, y=0.48439381840483975, z=0.8835352580987035), Vec3(x=3.601438499579146, y=-0.9673164141464099, z=2.285819671267035), Vec3(x=-1.1060931994902674, y=-0.4698248665015967, z=1.4334544881290583), Vec3(x=0.9322650293904431, y=-1.7713922092636807, z=-0.9439586335469272)] kJ/(nm mol)"
4,gdb9_21255,-40.63771645502976 kJ/mol,"[Vec3(x=0.1347981417433992, y=-0.32673984462178396, z=0.1336339447353012), Vec3(x=0.8042651854856899, y=-0.6461848376372927, z=2.473992091843826), Vec3(x=-0.22211516445179313, y=-2.2826782991540426, z=-2.348458552316572), Vec3(x=0.3131264266188083, y=-1.0829383246025088, z=3.4092647481492193), Vec3(x=1.7875157672812634, y=1.0875941712160397, z=-2.301495820597097), Vec3(x=2.3641924001134385, y=-2.726230430964847, z=1.8330209173139735), Vec3(x=-1.0504989575672425, y=2.2741163920470058, z=-1.0099962147815802), Vec3(x=-2.488067566408418, y=2.401262872143377, z=0.7762751528941578), Vec3(x=0.05297777855222563, y=-0.19593244930509712, z=-2.5441964671883213), Vec3(x=-0.7526346243823454, y=2.6522897168648374, z=1.5894644628868164), Vec3(x=0.9437044532261822, y=0.8789617492418829, z=0.5313429394962483), Vec3(x=1.2846927569958382, y=-2.3760930978247643, z=-3.3745282558779195), Vec3(x=-3.188673925960501, y=-0.15884675873030574, z=-0.3236966542772848), Vec3(x=0.01669932815096331, y=0.5012038493511, z=1.1553636410230865)] kJ/(nm mol)","[Vec3(x=0.24260001040970636, y=0.021457293469708816, z=1.2135845719571599), Vec3(x=-0.8155646301097192, y=0.7221445288388963, z=0.5383117914943796), Vec3(x=-0.46044377079942933, y=1.9995313508109689, z=2.497653499164244), Vec3(x=-1.6254609766245913, y=1.036089057453239, z=-0.6782482249101918), Vec3(x=-0.02404794431180335, y=-0.8156568551686405, z=1.2408500420857536), Vec3(x=-1.98986442663157, y=1.4895293686885793, z=-5.863589652071397), Vec3(x=-0.5190677851291667, y=-0.382278289412028, z=1.0569027633386838), Vec3(x=0.45510757533258683, y=-1.5938171606612457, z=1.6620690765923598), Vec3(x=0.09292356926843626, y=-2.2514416084223434, z=-2.1260268018522908), Vec3(x=0.762009187074213, y=-3.3433021861107495, z=-0.9648666851648358), Vec3(x=-0.6988393303919231, y=3.142139503425337, z=-1.013712878233874), Vec3(x=2.506487761094462, y=0.20366104444337907, z=1.9499118417572276), Vec3(x=1.775653731340924, y=3.2754835396482633, z=0.04564956258781194), Vec3(x=0.29851227468662955, y=-3.5035434017007674, z=0.441524921532789)] kJ/(nm mol)"
5,gdb9_21256,-46.547725391832955 kJ/mol,"[Vec3(x=0.19537971200492876, y=-0.05859200232285389, z=-0.1757775100068102), Vec3(x=-1.3738959312516954, y=-3.1418782346017338, z=-0.9904163035457714), Vec3(x=-0.24013819666674863, y=-1.3356429517654078, z=-0.5719489459847864), Vec3(x=-0.6203909616710774, y=-0.6250794461991518, z=0.034628802073585874), Vec3(x=-0.1545716012024485, y=0.4698479237451352, z=0.36352715226125554), Vec3(x=-1.2516888721681312, y=0.5771152835651492, z=1.0561197081576381), Vec3(x=-2.273703779821659, y=-0.838866719729964, z=0.9183141436676081), Vec3(x=1.2860637535997057, y=1.9471030612263434, z=0.39623959600803715), Vec3(x=0.5110398628965829, y=1.1715354361827366, z=-0.362280106684576), Vec3(x=1.1670325594264224, y=0.8190435365593078, z=0.6366243416681603), Vec3(x=-0.21013940875254455, y=-1.1165694460990174, z=-0.7090185503169333), Vec3(x=1.6563621073183015, y=1.5852703826450352, z=-0.0652176071142776), Vec3(x=1.8383257590400035, y=1.2206684329856898, z=-0.5247224525697902), Vec3(x=-0.5297937352040378, y=-0.673811012950182, z=-0.006171449742101487)] kJ/(nm mol)","[Vec3(x=1.2696825463651962, y=0.04995839745528485, z=-0.7589620751066093), Vec3(x=2.9198746077556734, y=4.1410496614942645, z=0.5635580249560519), Vec3(x=0.17926570921446228, y=-0.8634151393214324, z=-0.5852000407199967), Vec3(x=-0.12011810711038606, y=2.006180557840082, z=1.307912305651172), Vec3(x=-0.19072707974930836, y=-0.6652670241831942, z=-0.2998731347486938), Vec3(x=-0.5495761633061065, y=0.6957755529098222, z=0.650248978076327), Vec3(x=-0.9858733560341477, y=-0.19822767634857996, z=0.5102825516720131), Vec3(x=-2.7548989157460824, y=-0.9743317591761098, z=1.1578560326885778), Vec3(x=0.32409494038749376, y=-2.277305789183929, z=0.8857024717241422), Vec3(x=-1.3332225288788324, y=-0.47068470168784504, z=-1.7001103269811324), Vec3(x=0.7781200296788083, y=-0.3937148831136241, z=-0.9067144317588864), Vec3(x=-1.1171780082913472, y=-0.6599662046934895, z=0.3728386260168577), Vec3(x=2.84053580684909, y=1.5478966881068459, z=-0.9568251463539639), Vec3(x=-1.2599894947142758, y=-1.9379543558185315, z=-0.24071955716124194)] kJ/(nm mol)"
6,gdb9_21257,-36.2892946228514 kJ/mol,"[Vec3(x=-0.2582073320270344, y=-1.009344207643231, z=0.4518740200299156), Vec3(x=0.059519375581828626, y=-0.8174029058213819, z=0.0047505307285291565), Vec3(x=-0.7590938854295359, y=2.339174498807722, z=1.6799823465077566), Vec3(x=0.2950753772140047, y=-0.21229507017295646, z=-0.5059810942533502), Vec3(x=0.8113156235476424, y=-0.7509371745589704, z=-1.5503515935837697), Vec3(x=-1.1195183824179935, y=-2.2400196301770166, z=1.990852261401642), Vec3(x=-0.15113091281278201, y=0.7073273455703202, z=0.487946027186112), Vec3(x=-0.21617820828416967, y=2.1469255399583744, z=0.7248444408203767), Vec3(x=-0.17514088580413123, y=-1.1463375482022693, z=-2.3032570691340704), Vec3(x=1.7465311452137726, y=-1.1963965467260436, z=-1.1736229321383824), Vec3(x=0.5735316424525898, y=-2.5021496823242906, z=-1.0087870476165968), Vec3(x=0.17058160123090715, y=1.470991635146504, z=-0.504261532083035), Vec3(x=-0.9772620318629492, y=3.2105256157645385, z=1.7060373913415106)] kJ/(nm mol)","[Vec3(x=0.5315030670832979, y=-1.2760153496006765, z=-1.10357913112583), Vec3(x=-0.6984032755357532, y=0.22453061516955586, z=1.4564551892917734), Vec3(x=0.13400318947532242, y=0.7987418416292087, z=-0.03774045383011071), Vec3(x=1.5168816147204822, y=1.9244623720895646, z=-3.006028052592157), Vec3(x=-1.2287636613064734, y=-0.06960013006761301, z=2.4391687739246493), Vec3(x=0.6739678124255946, y=-0.8102654592495782, z=-1.6019166323557599), Vec3(x=0.8672110203628449, y=1.7535962036936041, z=-1.5410690814727275), Vec3(x=-0.7394869469803211, y=2.5020803140682517, z=1.767662149539305), Vec3(x=0.5710649750123149, y=-2.365707443972939, z=-0.8051074642864373), Vec3(x=0.11631570237117472, y=-2.467074127747951, z=-0.8683023045895624), Vec3(x=0.5785474285854022, y=-1.4594560373640384, z=-1.024893797880086), Vec3(x=0.512392096624211, y=1.1059248559407706, z=-1.1627388543265624), Vec3(x=-2.8352339765122423, y=0.13878043806340656, z=5.488070586217248)] kJ/(nm mol)"
7,gdb9_21258,-26.725593604786837 kJ/mol,"[Vec3(x=-1.0183562942421673, y=-1.316785567353655, z=0.17971724518022825), Vec3(x=2.1603266483548396, y=1.770162788907328, z=1.0624098070919104), Vec3(x=2.0898090907246, y=3.775763311087303, z=-0.10299928570839256), Vec3(x=-1.995681353765633, y=-2.7492159808676035, z=2.98145951935021), Vec3(x=0.6660378647323739, y=-0.8873239090334266, z=-0.08689059385926612), Vec3(x=-0.21416306081645686, y=-1.4368468155767218, z=-2.4544461192569713), Vec3(x=-0.6467949671910631, y=-0.5482232223546291, z=0.8641786519240373), Vec3(x=1.8213075587539294, y=-0.24668351634860386, z=-1.7789825334793559), Vec3(x=-0.9626718128903322, y=0.41305488342054275, z=-0.35423257182382883), Vec3(x=-1.0220781933951764, y=0.8308671742325622, z=-0.6297134066328027), Vec3(x=-0.504777411835093, y=0.4420941809337595, z=0.3091356922810178), Vec3(x=0.9551625540986279, y=-2.6632386974389988, z=-0.8945824102987672), Vec3(x=-1.3057403863651516, y=-0.6163552098445102, z=-0.39063338667387093), Vec3(x=0.48666612483879135, y=-0.3076112070570538, z=1.1887455846137414), Vec3(x=1.2262758028323617, y=2.002386464469012, z=0.9489862450739075), Vec3(x=-1.7352854473731405, y=1.5379237323626072, z=-0.8421638818733435)] kJ/(nm mol)","[Vec3(x=-0.45700118524612066, y=0.8319089043388885, z=-0.03512559574248897), Vec3(x=1.8362813709979378, y=1.4488850782826148, z=2.114795060752556), Vec3(x=1.3533320191424423, y=1.8468706864787237, z=-0.6976295618945869), Vec3(x=0.6470387904392965, y=-2.3210197216094457, z=0.8472784774081674), Vec3(x=0.5889849957055748, y=0.6944885592798471, z=1.85974436764997), Vec3(x=-0.5058859957336779, y=-1.890575138149206, z=-2.7316744119583234), Vec3(x=-0.7228416455131814, y=-1.2813468612411132, z=-0.0990557923536457), Vec3(x=1.139708081044005, y=0.5837713177386288, z=0.26987567761257125), Vec3(x=-0.47713906038905884, y=0.5452565794079947, z=-0.6099311702510093), Vec3(x=-1.8457709686229284, y=0.5270505865381487, z=-0.956233837735649), Vec3(x=-0.11477559795046588, y=-0.31706617287901295, z=0.8889725227160303), Vec3(x=-0.7826511696394931, y=-2.799715911415319, z=0.5985032268134489), Vec3(x=-1.4093300401741686, y=-1.6744903848064894, z=-1.579358318229323), Vec3(x=0.4047629231527523, y=-0.30460212978052237, z=1.2033631679044348), Vec3(x=0.5736038680517979, y=2.0081897813933187, z=-0.3190408180065063), Vec3(x=-0.22831972312450688, y=2.102398402701425, z=-0.7544808489183197)] kJ/(nm mol)"
8,gdb9_21259,-28.588946628922493 kJ/mol,"[Vec3(x=-0.34257247760046816, y=0.18272379642484537, z=-0.29988504245296355), Vec3(x=1.8068052550788138, y=-0.75956542948677, z=0.30367531327198094), Vec3(x=1.7800703207487913, y=-0.10656343648111033, z=0.5302030790147683), Vec3(x=1.689263865655704, y=-0.6951278934076299, z=-1.8583079298487313), Vec3(x=-0.7065804157209357, y=0.8826282891201629, z=1.3588692631495292), Vec3(x=-1.127701005634492, y=3.1304469035751126, z=1.0003103167977798), Vec3(x=1.3114694760594503, y=-2.8939327545541715, z=-2.8869297267554686), Vec3(x=2.3836547554746517, y=-1.8681811078402575, z=-0.05236324051838892), Vec3(x=-0.234394164030709, y=1.0536303950715933, z=1.0076635604725706), Vec3(x=-0.7848476177505894, y=-2.1652526153822116, z=-1.8334465515401916), Vec3(x=-2.1838507480976777, y=0.6380657013179878, z=-1.1229014818084533), Vec3(x=1.8060423525654699, y=-0.6158596868810093, z=-2.4135021489176154), Vec3(x=2.826899554077862, y=1.3634462329830548, z=2.1833302654740088), Vec3(x=-4.4421281138977875, y=2.2806145936161144, z=3.0892595146705766), Vec3(x=-3.940426892627052, y=0.7885885452488779, z=-1.5478358248853823), Vec3(x=0.15829452949568434, y=-1.215684421508108, z=2.5418654022474456)] kJ/(nm mol)","[Vec3(x=-0.4961055770204563, y=-0.06061933145905485, z=-0.35359369285104236), Vec3(x=0.2206933383830858, y=0.31790870711859043, z=3.3287269844425396), Vec3(x=1.8539507130018364, y=-0.8654938653495492, z=0.28892140250172815), Vec3(x=-0.39484410232775957, y=0.9352386792013476, z=1.8042794997028437), Vec3(x=2.0710944960138704, y=-0.2936003728675729, z=-3.7352806541808263), Vec3(x=-0.3176425948243349, y=-2.1155495886430913, z=-1.1006687607694516), Vec3(x=-1.423726346993874, y=5.141371379293673, z=1.483201953486443), Vec3(x=-0.43939981689149477, y=-0.618410592104965, z=1.8357085447481722), Vec3(x=-0.6025465050039973, y=0.6813223834073536, z=0.7384214642032703), Vec3(x=-0.5581922583987442, y=-1.6206806218287504, z=-1.571430354103228), Vec3(x=-1.0470090807709846, y=2.4730875730240482, z=-2.011185702878517), Vec3(x=0.2587690251590118, y=-1.3167809099224428, z=-0.5974325443914381), Vec3(x=-3.0260354119024164, y=-1.3041764191808056, z=1.4093246093794285), Vec3(x=0.01681243981408187, y=-2.0761360551853087, z=-4.336159152659468), Vec3(x=1.9939594630441846, y=-1.2543375639707541, z=0.9475840130627375), Vec3(x=1.8902181656022279, y=1.9768532606073577, z=1.8695802445399323)] kJ/(nm mol)"
9,gdb9_21260,-38.60160223734549 kJ/mol,"[Vec3(x=-0.6247349272791904, y=-1.5097275568460162, z=-1.3869938605905041), Vec3(x=-0.39529245998303253, y=1.9324491788555633, z=-0.5277848601094206), Vec3(x=2.3404728265948194, y=-2.9321724329878407, z=4.14856310033116), Vec3(x=-1.181068812313356, y=3.5751636456950564, z=-1.8310815701671714), Vec3(x=-0.8010115247136156, y=-0.22434166253144383, z=-1.5611330847602858), Vec3(x=0.22091935757667613, y=3.398791676426164, z=0.8359010395892597), Vec3(x=-0.6077014195794632, y=-0.05177028187873134, z=-1.1527778594989826), Vec3(x=-1.0805082051257102, y=1.8641220145752442, z=-1.840700852540607), Vec3(x=-0.860162436159257, y=-0.4788242193093222, z=1.0663190738451949), Vec3(x=0.6170078390827296, y=1.0567047356695225, z=1.2912963020251844), Vec3(x=1.3983947154473988, y=-0.3251428500460807, z=-0.12900636368384433), Vec3(x=2.0882890001999215, y=-5.337636213215973, z=3.3646021607617627), Vec3(x=-1.8839269663438536, y=0.9644052511022281, z=-0.4779708071820714), Vec3(x=0.1792289116735546, y=-3.034964271768441, z=-0.03684361735258257), Vec3(x=0.5900865907370942, y=1.1028939912420537, z=-1.7623494616016302)] kJ/(nm mol)","[Vec3(x=-0.3015803231325407, y=-1.0780160719442229, z=-0.7151384255420412), Vec3(x=-0.8324073397358589, y=1.1640696875635967, z=-1.452367935819879), Vec3(x=2.1088528798194233, y=0.8859931185292211, z=4.157610293182728), Vec3(x=-1.7946756945373314, y=-0.9017415569936844, z=-3.5329703642898025), Vec3(x=-0.36531526571875617, y=1.7064060093583748, z=-0.49645935193099433), Vec3(x=-0.022380230340271368, y=2.104362026034252, z=0.21286165381286537), Vec3(x=-0.13946222134023856, y=-0.4817821926729451, z=-0.3107968353316508), Vec3(x=-1.271152973448551, y=1.207062799796546, z=-2.281140483078687), Vec3(x=-0.9383239232702092, y=-0.6884985705488091, z=1.1551594339441884), Vec3(x=0.44171345083942803, y=0.9392947736300403, z=0.9427347545035865), Vec3(x=1.5374109706436965, y=-0.5218788725447752, z=-0.15464979849650895), Vec3(x=1.7606330228543356, y=-2.855117034328842, z=3.0319923123898036), Vec3(x=-1.7381542992382393, y=0.4073641337143954, z=0.31795109768957985), Vec3(x=0.34230111750289893, y=-2.4634949379237767, z=0.34277357962427857), Vec3(x=1.2125455974736248, y=0.5759747809821967, z=-1.2175637453545392)] kJ/(nm mol)"
